code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
20628	9	15	20	19	17	15	16	7	15	20	0	86.90%	75	73	78.97	2.5
20744	9	16	20	19	20	18	18	10	20	20	0	96.60%	94	98	96.64	3.9
20783	9	16	19	20	19	15	19	9	19	20	2	94.90%	92	95	94.35	3.8
20807	10	16	20	20	16	18	19	9	19	20	0	94.90%	88	79	87.15	3.2
20877	9	16	20	19	18	0	19	8	16	20	0	82.40%	77	60	72.35	1.9
21043	7	15	20	15	17	13	12	6	7	12	0	70.50%	87	56	67.98	1.5
21104	6	13	20	16	20	17	20	7	20	20	0.67	90.70%	95	93	92.49	3.7
21612	10	16	20	19	17	20	0	9	15	20	0	83.00%	96	84	85.98	3.1
21620	8	15	17	15	13	19	18	8	13	20	0	83.00%	78	77	79.58	2.5
21684	9	16	20	19	17	20	20	9	15	20	0	93.80%	88	85	89.1	3.4
21738	10	16	20	18	19	20	19	8	18	20	0	95.50%	101	96	96.78	4
21774	9	16	20	20	16	20	18	10	17	20	0	94.30%	90	100	95.73	3.9
21836	9	14	20	19	19	18	17	10	20	20	0	94.30%	94	87	91.33	3.5
21998	9	16	19	18	19	17	0	9	14	20	1.33	80.90%	98	91	88.35	3.3
22006	9	16	20	19	18	19	19	10	21	20	0	97.20%	84	92	92.46	3.7
22029	8	16	20	16	16	18	16	8	18	20	2.67	90.20%	86	89	88.86	3.4
22032	9	16	19	18	16	18	20	9	15	20	0	90.90%	95	82	88.16	3.3
22060	10	16	20	18	18	20	19	9	19	20	1	96.60%	97	99	97.64	4
22155	8	14	18	10	14	0	0	6	8	9	0	49.40%	58	39	46.97	0
22185	9	15	17	16	17	0	8	9	5	20	0	65.90%	65	28	50.56	0
22407	10	16	20	17	19	18	20	10	19	20	1	96.60%	94	81	89.84	3.4
22409	8	15	15	19	0	19	2	0	0	15	0.33	53.00%	71	27	46.21	0
22695	8	15	20	19	17	17	12	9	17	20	0	87.50%	71	56	71.6	1.9
22703	10	16	20	16	18	17	19	9	17	20	0	92.00%	91	88	90.22	3.5
22761	7	14	17	18	17	18	17	8	19	20	0	88.10%	96	93	91.63	3.6
22857	9	16	20	20	15	18	18	9	17	20	0	92.00%	90	86	89.22	3.4
22965	10	16	20	19	17	13	0	0	0	20	0	65.30%	85	62	67.94	1.5
23030	8	15	18	0	18	0	0	0	0	3	0	35.20%	0	0	14.09	0
23052	9	15	19	14	17	0	0	3	0	20	0	55.10%	77	28	48.65	0
23089	6	15	18	15	16	15	15	7	12	20	0	79.00%	92	90	85.99	3.1
23159	10	16	14	19	19	16	17	10	17	20	0	89.80%	91	89	89.71	3.4
